"","X.1","X","ID","Group","Group_affiliation","YOB","Age","Gender","Sex","IndividScore","Est_Score","Overconfidence","Group_Quiz_Score","Group_Bonus_Score","Nominated","mode_influential","initial_influential","mode_learn","initial_learn","aveP","aveD","meanP","meanD","aveInf","aveLik","sScore","GroupID","o_conf","ageS","OConfBIN"
"90",103,103,113,23,"Kayak Club Falmouth (student)",1996,22,"F",1,24,15,-9,26,1,0,112,0,0,0,0.734567901234568,0.131944444444445,5.40740740740741,1.79166666666667,0.388888888888889,0.777777777777778,-4.625,14,-4.49264705882353,-24.4852941176471,0
"91",104,104,114,23,"Kayak Club Falmouth (student)",1995,23,"F",1,26,15,-11,26,1,1,112,0,0,0,0.839506172839506,0.291666666666667,6.03703703703704,2.75,0.740740740740741,0.888888888888889,-2.625,14,-6.49264705882353,-23.4852941176471,0
"92",105,105,115,23,"Kayak Club Falmouth (student)",1995,23,"F",1,24,19,-5,26,1,0,112,0,0,0,0.802469135802469,0.416666666666666,5.81481481481481,3.5,0.666666666666667,0.722222222222222,-4.625,14,-0.492647058823529,-23.4852941176471,0
"93",106,106,116,24,"Roaming CIC (Penzance)",1968,50,"M",0,31,20,-11,32,5,0,118,0,119,0,0.611111111111111,0.354166666666667,4.66666666666667,3.125,0.296296296296296,0.888888888888889,2.375,15,-6.49264705882353,3.51470588235294,0
"94",107,107,117,24,"Roaming CIC (Penzance)",1963,55,"M",0,26,10,-16,32,5,0,118,0,119,0,0.796296296296297,0.125,5.77777777777778,1.75,0.680555555555556,0.958333333333333,-2.625,15,-11.4926470588235,8.51470588235294,0
"95",108,108,118,24,"Roaming CIC (Penzance)",1960,58,"F",1,29,15,-14,32,5,0,118,1,119,0,0.907407407407407,0.192708333333333,6.44444444444444,2.15625,0.791666666666667,1,0.375,15,-9.49264705882353,11.5147058823529,0
"96",109,109,119,24,"Roaming CIC (Penzance)",1962,56,"M",0,32,34,2,32,5,1,118,0,119,1,0.898148148148148,0.223958333333333,6.38888888888889,2.34375,0.680555555555556,1,3.375,15,6.50735294117647,9.51470588235294,1
"97",110,110,120,24,"Roaming CIC (Penzance)",1977,41,"M",0,22,37,15,32,5,0,118,0,119,0,0.782407407407407,0.151041666666667,5.69444444444444,1.90625,0.555555555555556,0.958333333333333,-6.625,15,19.5073529411765,-5.48529411764706,1
"98",111,111,121,25,"Penryn MSc students",1985,33,"M",0,30,33,3,35,5,1,0,0,0,0,0.865740740740741,0.161458333333333,6.19444444444444,1.96875,0.736111111111111,0.958333333333333,1.375,16,7.50735294117647,-13.4852941176471,1
"99",112,112,122,25,"Penryn MSc students",1994,24,"F",1,30,35,5,35,5,0,0,0,0,0,0.800925925925926,0.197916666666667,5.80555555555556,2.1875,0.638888888888889,0.9375,1.375,16,9.50735294117647,-22.4852941176471,1
"100",113,113,123,25,"Penryn MSc students",1995,23,"F",1,29,10,-19,35,5,0,0,0,0,0,0.694444444444444,0.322916666666667,5.16666666666667,2.9375,0.541666666666667,0.770833333333333,0.375,16,-14.4926470588235,-23.4852941176471,0
"101",114,114,124,25,"Penryn MSc students",1995,23,"F",1,29,22,-7,35,5,0,0,0,0,0,0.800925925925926,0.463541666666667,5.80555555555556,3.78125,0.875,0.833333333333333,0.375,16,-2.49264705882353,-23.4852941176471,0
"102",115,115,125,25,"Penryn MSc students",1989,29,"F",1,24,20,-4,35,5,0,0,0,0,0,0.837962962962963,0.161458333333333,6.02777777777778,1.96875,0.666666666666667,0.958333333333333,-4.625,16,0.507352941176471,-17.4852941176471,0
"103",116,116,126,26,"Mylor Mums",1980,38,"F",1,35,28,-7,32,4,1,129,0,0,0,0.916666666666667,0.130208333333334,6.5,1.78125,0.875,1,6.375,17,-2.49264705882353,-8.48529411764706,0
